ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
575,4,44,Location 4 - Location 10,2,2,10,158615.804703051224351
576,5,45,Location 5 - Location 10,2,2,10,158767.916715561354067
577,6,46,Location 6 - Location 10,2,2,10,158873.971897701383568
578,38,47,Location 38 - Location 10,2,1,10,166790.766279954346828
579,61,48,Location 61 - Location 10,2,1,10,167177.342239933816018
580,44,49,Location 44 - Location 10,2,1,10,173362.329572313756216
581,45,50,Location 45 - Location 10,2,1,10,173362.329572313756216
582,58,51,Location 58 - Location 10,2,1,10,181791.628165728878230
583,59,52,Location 59 - Location 10,2,1,10,181791.628165728878230
584,60,53,Location 60 - Location 10,2,1,10,181791.628165728878230
585,19,54,Location 19 - Location 10,2,2,10,181873.460688531195046
586,15,55,Location 15 - Location 10,2,2,10,184905.136599522957113
587,16,56,Location 16 - Location 10,2,2,10,184919.704327036772156
588,14,57,Location 14 - Location 10,2,2,10,184950.128469455317827
589,55,58,Location 55 - Location 10,2,2,10,186935.609456217614934
590,56,59,Location 56 - Location 10,2,1,10,199873.568037786026252
591,11,1,Location 11 - Location 11,2,2,11,0.000000000000000
592,9,2,Location 9 - Location 11,2,1,11,5.698992784665932
593,10,3,Location 10 - Location 11,2,1,11,5.698992784665932
594,13,4,Location 13 - Location 11,1,1,11,7323.923738443815637
595,12,5,Location 12 - Location 11,1,1,11,7338.494158927077478
596,25,6,Location 25 - Location 11,1,2,11,52649.148105276806746
597,23,7,Location 23 - Location 11,1,1,11,52684.294325893562927
598,24,8,Location 24 - Location 11,1,1,11,52684.294325893562927
599,26,9,Location 26 - Location 11,1,1,11,52733.128846373198030
600,20,10,Location 20 - Location 11,1,2,11,53866.563927175906429
601,1,11,Location 1 - Location 11,1,2,11,59365.576717067822756
602,17,12,Location 17 - Location 11,1,2,11,66324.839187412770116
603,18,13,Location 18 - Location 11,1,2,11,66324.839187412770116
604,21,14,Location 21 - Location 11,1,2,11,66426.665654102835106
605,22,15,Location 22 - Location 11,1,2,11,66426.665654102835106
606,43,16,Location 43 - Location 11,1,1,11,80005.681421094079269
607,7,17,Location 7 - Location 11,1,2,11,82309.874385226488812
608,8,18,Location 8 - Location 11,1,2,11,82385.862954362790333
609,57,19,Location 57 - Location 11,1,2,11,83120.790380549762631
610,41,20,Location 41 - Location 11,1,1,11,124921.859860773722176
611,39,21,Location 39 - Location 11,1,1,11,124967.930383140876074
612,40,22,Location 40 - Location 11,1,1,11,124967.930383140876074
613,42,23,Location 42 - Location 11,1,1,11,125630.556849008047720
614,31,24,Location 31 - Location 11,1,1,11,129540.515179852489382
615,32,25,Location 32 - Location 11,1,1,11,129541.383174526272342
616,46,26,Location 46 - Location 11,1,1,11,139131.822834980208427
617,47,27,Location 47 - Location 11,1,1,11,139131.822834980208427
618,48,28,Location 48 - Location 11,1,1,11,139131.822834980208427
619,30,29,Location 30 - Location 11,1,2,11,140183.428514781029662
620,62,30,Location 62 - Location 11,1,1,11,148474.149084195436444
621,27,31,Location 27 - Location 11,1,1,11,151033.139388061768841
622,33,32,Location 33 - Location 11,1,1,11,152214.143855083908420
623,37,33,Location 37 - Location 11,1,1,11,154038.430738403956639
624,34,34,Location 34 - Location 11,1,1,11,154167.393437924241880
625,35,35,Location 35 - Location 11,1,1,11,154167.393437924241880
626,36,36,Location 36 - Location 11,1,1,11,154167.393437924241880
627,28,37,Location 28 - Location 11,1,1,11,154440.409323958010646
628,29,38,Location 29 - Location 11,1,1,11,154440.409323958010646
629,53,39,Location 53 - Location 11,1,1,11,158321.226578688714653
630,52,40,Location 52 - Location 11,1,2,11,158322.828920830186689
631,54,41,Location 54 - Location 11,1,1,11,158329.158152260351926
632,2,42,Location 2 - Location 11,1,1,11,158541.718766293692170
633,3,43,Location 3 - Location 11,1,1,11,158563.205968489433872
634,4,44,Location 4 - Location 11,1,2,11,158610.105710266565438
635,5,45,Location 5 - Location 11,1,2,11,158762.217722776695155
636,6,46,Location 6 - Location 11,1,2,11,158868.272904916724656
637,38,47,Location 38 - Location 11,1,1,11,166785.067287169687916
638,61,48,Location 61 - Location 11,1,1,11,167171.643247149157105
639,44,49,Location 44 - Location 11,1,1,11,173356.630579529097304
640,45,50,Location 45 - Location 11,1,1,11,173356.630579529097304
641,58,51,Location 58 - Location 11,1,1,11,181785.929172944219317
642,59,52,Location 59 - Location 11,1,1,11,181785.929172944219317
643,60,53,Location 60 - Location 11,1,1,11,181785.929172944219317
644,19,54,Location 19 - Location 11,1,2,11,181867.761695746536134
645,15,55,Location 15 - Location 11,1,2,11,184899.437606738298200
646,16,56,Location 16 - Location 11,1,2,11,184914.005334252113244
647,14,57,Location 14 - Location 11,1,2,11,184944.429476670658914
648,55,58,Location 55 - Location 11,1,2,11,186929.910463432956021
649,56,59,Location 56 - Location 11,1,1,11,199867.869045001367340
650,12,1,Location 12 - Location 12,2,2,12,0.000000000000000
651,13,2,Location 13 - Location 12,2,2,12,14.570420483261820
652,11,3,Location 11 - Location 12,2,2,12,7338.494158927078388
